year,farm_resource_region,crop,stat,estimate
2009,Eastern Uplands,Corn,incfi,40161
2009,Eastern Uplands,"Tobacco, Cotton, Peanuts",incfi,18226
2009,Eastern Uplands,Soybean,incfi,75991
2009,Eastern Uplands,Other Field Crops,incfi,-2627
2009,Eastern Uplands,"Specialty Crops (F,V,N)",incfi,11388
2010,Eastern Uplands,Corn,incfi,34320
2010,Eastern Uplands,General Cash Grains,incfi,48645
2010,Eastern Uplands,Soybean,incfi,26630
2010,Eastern Uplands,"Tobacco, Cotton, Peanuts",incfi,19953
2010,Eastern Uplands,Other Field Crops,incfi,-1352
2010,Eastern Uplands,"Specialty Crops (F,V,N)",incfi,8376
2011,Eastern Uplands,General Cash Grains,incfi,102964
2011,Eastern Uplands,"Tobacco, Cotton, Peanuts",incfi,30293
2011,Eastern Uplands,Wheat,incfi,NA
2011,Eastern Uplands,Corn,incfi,51162
2011,Eastern Uplands,Soybean,incfi,36066
2011,Eastern Uplands,Other Field Crops,incfi,-5891
2011,Eastern Uplands,"Specialty Crops (F,V,N)",incfi,9333
2012,Eastern Uplands,General Cash Grains,incfi,106170
2012,Eastern Uplands,Soybean,incfi,106352
2012,Eastern Uplands,"Tobacco, Cotton, Peanuts",incfi,26857
2012,Eastern Uplands,Wheat,incfi,NA
2012,Eastern Uplands,Corn,incfi,7885
2012,Eastern Uplands,Other Field Crops,incfi,-1895
2012,Eastern Uplands,"Specialty Crops (F,V,N)",incfi,106172
2013,Eastern Uplands,Soybean,incfi,120930
2013,Eastern Uplands,"Specialty Crops (F,V,N)",incfi,8957
2013,Eastern Uplands,General Cash Grains,incfi,182101
2013,Eastern Uplands,Wheat,incfi,NA
2013,Eastern Uplands,Corn,incfi,107189
2013,Eastern Uplands,"Tobacco, Cotton, Peanuts",incfi,77429
2013,Eastern Uplands,Other Field Crops,incfi,2640
2014,Eastern Uplands,Wheat,incfi,NA
2014,Eastern Uplands,Corn,incfi,73965
2014,Eastern Uplands,Other Field Crops,incfi,5387
2014,Eastern Uplands,"Specialty Crops (F,V,N)",incfi,26244
2014,Eastern Uplands,General Cash Grains,incfi,164723
2014,Eastern Uplands,Soybean,incfi,27697
2014,Eastern Uplands,"Tobacco, Cotton, Peanuts",incfi,43605
2015,Eastern Uplands,General Cash Grains,incfi,169394
2015,Eastern Uplands,Wheat,incfi,NA
2015,Eastern Uplands,Soybean,incfi,28078
2015,Eastern Uplands,"Tobacco, Cotton, Peanuts",incfi,23173
2015,Eastern Uplands,Corn,incfi,31900
2015,Eastern Uplands,Other Field Crops,incfi,342
2015,Eastern Uplands,"Specialty Crops (F,V,N)",incfi,21697
2016,Eastern Uplands,General Cash Grains,incfi,71463
2016,Eastern Uplands,Wheat,incfi,NA
2016,Eastern Uplands,Corn,incfi,11115
2016,Eastern Uplands,Soybean,incfi,61094
2016,Eastern Uplands,"Tobacco, Cotton, Peanuts",incfi,48416
2016,Eastern Uplands,Other Field Crops,incfi,-3508
2016,Eastern Uplands,"Specialty Crops (F,V,N)",incfi,89792
2017,Eastern Uplands,"Specialty Crops (F,V,N)",incfi,16277
2017,Eastern Uplands,General Cash Grains,incfi,138197
2017,Eastern Uplands,Corn,incfi,106208
2017,Eastern Uplands,Soybean,incfi,59515
2017,Eastern Uplands,"Tobacco, Cotton, Peanuts",incfi,130480
2017,Eastern Uplands,Other Field Crops,incfi,-1204
2018,Eastern Uplands,General Cash Grains,incfi,147345
2018,Eastern Uplands,Other Field Crops,incfi,-2777
2018,Eastern Uplands,Corn,incfi,-21777
2018,Eastern Uplands,Soybean,incfi,6490
2018,Eastern Uplands,"Tobacco, Cotton, Peanuts",incfi,99294
2018,Eastern Uplands,"Specialty Crops (F,V,N)",incfi,30036
1996,Fruitful Rim,Wheat,incfi,26567
1996,Fruitful Rim,"Tobacco, Cotton, Peanuts",incfi,-40450
1996,Fruitful Rim,General Cash Grains,incfi,54291
1996,Fruitful Rim,Corn,incfi,34071
1996,Fruitful Rim,Soybean,incfi,-14374
1996,Fruitful Rim,Other Field Crops,incfi,53814
1996,Fruitful Rim,"Specialty Crops (F,V,N)",incfi,37832
1997,Fruitful Rim,General Cash Grains,incfi,30679
1997,Fruitful Rim,Wheat,incfi,109253
1997,Fruitful Rim,Corn,incfi,14832
1997,Fruitful Rim,"Tobacco, Cotton, Peanuts",incfi,60313
1997,Fruitful Rim,Soybean,incfi,NA
1997,Fruitful Rim,Other Field Crops,incfi,35457
1997,Fruitful Rim,"Specialty Crops (F,V,N)",incfi,70584
1998,Fruitful Rim,General Cash Grains,incfi,80531
1998,Fruitful Rim,Wheat,incfi,21774
1998,Fruitful Rim,"Specialty Crops (F,V,N)",incfi,51464
1998,Fruitful Rim,Corn,incfi,4634
1998,Fruitful Rim,"Tobacco, Cotton, Peanuts",incfi,67063
1998,Fruitful Rim,Other Field Crops,incfi,16041
1999,Fruitful Rim,Wheat,incfi,45196
1999,Fruitful Rim,Corn,incfi,NA
1999,Fruitful Rim,"Tobacco, Cotton, Peanuts",incfi,145047
1999,Fruitful Rim,Other Field Crops,incfi,6690
1999,Fruitful Rim,General Cash Grains,incfi,95316
1999,Fruitful Rim,Soybean,incfi,NA
1999,Fruitful Rim,"Specialty Crops (F,V,N)",incfi,43378
2000,Fruitful Rim,General Cash Grains,incfi,39009
2000,Fruitful Rim,Corn,incfi,4855
2000,Fruitful Rim,Soybean,incfi,NA
2000,Fruitful Rim,"Tobacco, Cotton, Peanuts",incfi,84896
2000,Fruitful Rim,Wheat,incfi,23756
2000,Fruitful Rim,Other Field Crops,incfi,942
2000,Fruitful Rim,"Specialty Crops (F,V,N)",incfi,61447
2001,Fruitful Rim,Wheat,incfi,69415
2001,Fruitful Rim,Soybean,incfi,NA
2001,Fruitful Rim,"Tobacco, Cotton, Peanuts",incfi,63706
2001,Fruitful Rim,General Cash Grains,incfi,54455
2001,Fruitful Rim,Corn,incfi,NA
2001,Fruitful Rim,Other Field Crops,incfi,28531
2001,Fruitful Rim,"Specialty Crops (F,V,N)",incfi,92966
2002,Fruitful Rim,Wheat,incfi,32273
2002,Fruitful Rim,Corn,incfi,NA
2002,Fruitful Rim,Soybean,incfi,NA
2002,Fruitful Rim,"Specialty Crops (F,V,N)",incfi,72632
2002,Fruitful Rim,General Cash Grains,incfi,36339
2002,Fruitful Rim,"Tobacco, Cotton, Peanuts",incfi,221765
2002,Fruitful Rim,Other Field Crops,incfi,9400
2003,Fruitful Rim,General Cash Grains,incfi,100764
2003,Fruitful Rim,Wheat,incfi,10813
2003,Fruitful Rim,Corn,incfi,-7608
2003,Fruitful Rim,Soybean,incfi,NA
2003,Fruitful Rim,Other Field Crops,incfi,17556
2003,Fruitful Rim,"Tobacco, Cotton, Peanuts",incfi,81099
2003,Fruitful Rim,"Specialty Crops (F,V,N)",incfi,87998
2004,Fruitful Rim,Corn,incfi,96706
2004,Fruitful Rim,Soybean,incfi,NA
2004,Fruitful Rim,Other Field Crops,incfi,17286
2004,Fruitful Rim,"Specialty Crops (F,V,N)",incfi,93024
2004,Fruitful Rim,General Cash Grains,incfi,114709
2004,Fruitful Rim,Wheat,incfi,35433
2004,Fruitful Rim,"Tobacco, Cotton, Peanuts",incfi,165937
2005,Fruitful Rim,General Cash Grains,incfi,68499
2005,Fruitful Rim,Wheat,incfi,55362
2005,Fruitful Rim,Corn,incfi,43576
2005,Fruitful Rim,Soybean,incfi,NA
2005,Fruitful Rim,"Specialty Crops (F,V,N)",incfi,101345
2005,Fruitful Rim,"Tobacco, Cotton, Peanuts",incfi,202540
2005,Fruitful Rim,Other Field Crops,incfi,19150
2006,Fruitful Rim,Corn,incfi,39439
2006,Fruitful Rim,"Tobacco, Cotton, Peanuts",incfi,81197
2006,Fruitful Rim,Other Field Crops,incfi,10033
2006,Fruitful Rim,"Specialty Crops (F,V,N)",incfi,126858
2006,Fruitful Rim,General Cash Grains,incfi,76339
2006,Fruitful Rim,Wheat,incfi,48773
2006,Fruitful Rim,Soybean,incfi,NA
2007,Fruitful Rim,General Cash Grains,incfi,69653
2007,Fruitful Rim,"Tobacco, Cotton, Peanuts",incfi,142971
2007,Fruitful Rim,Other Field Crops,incfi,22808
2007,Fruitful Rim,Wheat,incfi,133904
2007,Fruitful Rim,Corn,incfi,56839
2007,Fruitful Rim,Soybean,incfi,NA
2007,Fruitful Rim,"Specialty Crops (F,V,N)",incfi,148894
2008,Fruitful Rim,General Cash Grains,incfi,190283
2008,Fruitful Rim,Wheat,incfi,137933
2008,Fruitful Rim,Soybean,incfi,NA
2008,Fruitful Rim,"Tobacco, Cotton, Peanuts",incfi,278522
2008,Fruitful Rim,Other Field Crops,incfi,31474
2008,Fruitful Rim,Corn,incfi,11315
2008,Fruitful Rim,"Specialty Crops (F,V,N)",incfi,113264
2009,Fruitful Rim,Wheat,incfi,84497
2009,Fruitful Rim,"Tobacco, Cotton, Peanuts",incfi,67376
2009,Fruitful Rim,Other Field Crops,incfi,18631
2009,Fruitful Rim,General Cash Grains,incfi,160802
2009,Fruitful Rim,Corn,incfi,35435
2009,Fruitful Rim,Soybean,incfi,3894
2009,Fruitful Rim,"Specialty Crops (F,V,N)",incfi,118150
2010,Fruitful Rim,Corn,incfi,36843
2010,Fruitful Rim,Soybean,incfi,22674
